RegionID,SizeRank,RegionName,RegionType,StateName,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31
394714,40,"Jacksonville, FL",Msa,FL,299000.0,299900.0,305000.0,309900.0,315000.0,319000.0,315741.0,314900.0,308667.0,299999.0,299000.0,295000.0,294900.0,298990.0,295090.0,299000.0,305000.0,310000.0,320000.0,312045.0,300000.0,299990.0,299000.0,299900.0,299000.0,296985.0,299900.0,308900.0,310000.0,302990.0,315000.0,319000.0,319900.0,319000.0,315000.0,310000.0,303000.0,306950.0,309711.0,314990.0,325990.0,340000.0,350000.0,350000.0,350490.0,356900.0,364990.0,365387.0,366000.0,371950.0,375000.0,388990.0,415000.0
394849,41,"Memphis, TN",Msa,TN,195091.0,184757.0,180853.0,180853.0,180948.0,189995.0,190376.0,203709.0,204757.0,207328.0,208566.0,209424.0,208090.0,199995.0,199995.0,200948.0,208566.0,214281.0,223804.0,223804.0,223804.0,223709.0,222376.0,223709.0,223804.0,223804.0,219042.0,223709.0,233232.0,233328.0,240566.0,249518.0,252375.0,251327.0,238080.0,242851.0,247613.0,239032.0,240500.0,239700.0,249000.0,254543.0,264990.0,259900.0,259900.0,265000.0,265000.0,270000.0,270000.0,260000.0,249900.0,239900.0,234000.0
394935,42,"Oklahoma City, OK",Msa,OK,235502.0,235759.0,236428.0,241671.0,249889.0,251956.0,255042.0,251956.0,251956.0,246712.0,246712.0,246712.0,246814.0,246712.0,252599.0,261006.0,272421.0,279202.0,280741.0,276638.0,272524.0,267177.0,267279.0,267382.0,267382.0,267279.0,272524.0,279209.0,283220.0,282808.0,293092.0,304358.0,300178.0,297206.0,293092.0,293277.0,293082.0,291035.0,292700.0,302900.0,313600.0,325000.0,325000.0,318840.0,315000.0,309500.0,305000.0,301089.0,310270.0,319900.0,335000.0,351340.0,363376.0
394807,43,"Louisville-Jefferson County, KY",Msa,KY,230000.0,229000.0,237000.0,254900.0,269900.0,274900.0,279000.0,275900.0,269500.0,269000.0,265000.0,263900.0,257499.0,250000.0,254900.0,266900.0,278900.0,289500.0,294000.0,289900.0,285000.0,279000.0,269900.0,259900.0,250000.0,246900.0,249500.0,263900.0,280818.0,289900.0,299900.0,299900.0,299000.0,291800.0,274900.0,269555.0,257500.0,258500.0,260000.0,274900.0,284900.0,289900.0,295000.0,294900.0,285000.0,284900.0,275000.0,275000.0,275000.0,276990.0,279900.0,291440.0,299900.0
394669,44,"Hartford, CT",Msa,CT,273053.0,271914.0,279609.0,286279.0,297463.0,297463.0,297463.0,297566.0,297463.0,296540.0,292435.0,292333.0,287202.0,287202.0,287202.0,293359.0,297565.0,307724.0,307724.0,315522.0,307724.0,306801.0,303620.0,297566.0,297463.0,296540.0,294488.0,297565.0,314907.0,317985.0,328246.0,338507.0,348562.0,347844.0,338507.0,337583.0,333376.0,328246.0,329900.0,339900.0,349900.0,354900.0,349900.0,335000.0,330000.0,325000.0,325000.0,324800.0,325000.0,339900.0,349900.0,359900.0,359900.0
395022,45,"Richmond, VA",Msa,VA,304264.0,295925.0,294039.0,306936.0,319637.0,329129.0,330109.0,329026.0,330058.0,323444.0,314685.0,309526.0,309474.0,309423.0,309423.0,314685.0,335320.0,345586.0,350537.0,349764.0,346669.0,335320.0,330161.0,325002.0,324899.0,329986.0,333205.0,340365.0,350744.0,360082.0,369368.0,380717.0,381645.0,381697.0,377570.0,379990.0,384618.0,389000.0,390590.0,396900.0,399999.0,399790.0,398000.0,386500.0,375075.0,379000.0,377000.0,384990.0,395000.0,407990.0,418990.0,423900.0,395000.0
394910,46,"New Orleans, LA",Msa,LA,249999.0,247777.0,240000.0,240000.0,249500.0,259000.0,262500.0,265000.0,263500.0,259900.0,255900.0,254900.0,250000.0,250000.0,249900.0,255000.0,263000.0,269900.0,274900.0,272000.0,269900.0,269000.0,268500.0,267000.0,265900.0,262500.0,259900.0,262000.0,269900.0,275000.0,283900.0,288900.0,292400.0,299000.0,299000.0,299000.0,299000.0,299000.0,295000.0,294560.0,299900.0,319000.0,325000.0,329000.0,325000.0,319000.0,319900.0,325000.0,329900.0,329000.0,335000.0,337875.0,335000.0
394425,47,"Buffalo, NY",Msa,NY,192413.0,186912.0,186912.0,197913.0,208915.0,214415.0,219916.0,219916.0,219916.0,217276.0,214525.0,208915.0,203414.0,197913.0,198023.0,206715.0,209025.0,219916.0,230917.0,230917.0,231027.0,219916.0,219077.0,218926.0,208915.0,208915.0,208915.0,208915.0,219916.0,230917.0,243019.0,253030.0,252920.0,241919.0,241919.0,236418.0,230917.0,228827.0,229900.0,249900.0,259900.0,269900.0,269000.0,259000.0,249900.0,239900.0,235000.0,230000.0,229900.0,229900.0,229000.0,229900.0,239999.0
395012,48,"Raleigh, NC",Msa,NC,345892.0,344931.0,341182.0,350793.0,365113.0,370010.0,369919.0,365113.0,364248.0,360164.0,354637.0,345027.0,344066.0,341182.0,339260.0,345988.0,360404.0,370015.0,374724.0,370015.0,361269.0,360308.0,360308.0,355502.0,348390.0,345892.0,345892.0,355502.0,364152.0,356730.0,371301.0,379625.0,384335.0,386353.0,390476.0,392000.0,389339.0,389900.0,392000.0,399900.0,406831.0,411990.0,415200.0,419990.0,425000.0,425000.0,425000.0,424900.0,426200.0,425000.0,425000.0,432000.0,456025.0
394388,49,"Birmingham, AL",Msa,AL,209900.0,205900.0,204250.0,211500.0,229900.0,238353.0,239900.0,239900.0,239900.0,239900.0,234900.0,229000.0,229000.0,229900.0,229900.0,239900.0,249900.0,259900.0,265900.0,269900.0,275000.0,270000.0,272000.0,274305.0,269900.0,264995.0,264900.0,267500.0,269900.0,269900.0,279900.0,284500.0,281500.0,279500.0,270000.0,274900.0,275000.0,278440.0,278100.0,280900.0,284900.0,295900.0,299000.0,292900.0,289000.0,290000.0,289900.0,300850.0,302900.0,296345.0,285462.0,260000.0,250000.0
